species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,diet,life_stage,health_metrics,year_taken,image_url
Adelie,Biscoe,29.8,16.9,178,3682,male,parental,chick,healthy,2021,/penguins39.jpg
Adelie,Biscoe,38.9,14.6,169,3668,male,parental,chick,healthy,2021,/penguins40.jpg
Adelie,Biscoe,38.9,9.1,195,3597,male,parental,chick,healthy,2021,/penguins41.jpg
Adelie,Biscoe,33.7,13.6,180,3975,male,parental,chick,overweight,2021,/penguins42.jpg
Adelie,Biscoe,32.2,13.1,185,4142,male,parental,chick,overweight,2021,/penguins43.jpg
Adelie,Biscoe,34.3,15.8,185,3923,male,parental,chick,overweight,2021,/penguins44.jpg
Adelie,Biscoe,27.2,17.1,189,3744,male,parental,chick,healthy,2021,/penguins45.jpg
Adelie,Biscoe,37.8,13.4,187,3156,male,parental,chick,underweight,2021,/penguins46.jpg
Adelie,Biscoe,39.1,19.5,175,3499,female,squid,juvenile,underweight,2021,/penguins47.jpg
Adelie,Biscoe,45.5,19.3,230,5971,male,squid,adult,overweight,2021,/penguins48.jpg
Adelie,Biscoe,39,18.2,221,4884,male,squid,juvenile,healthy,2021,/penguins49.jpg
Adelie,Dream,33.1,18.4,206,4870,female,fish,juvenile,overweight,2021,/penguins50.jpg
Adelie,Dream,37.6,16.7,218,5372,female,fish,juvenile,overweight,2021,/penguins51.jpg
Adelie,Dream,50.6,18.7,207,4955,female,fish,juvenile,overweight,2021,/penguins52.jpg
Adelie,Dream,65.2,18,223,4681,female,fish,adult,healthy,2021,/penguins53.jpg
Adelie,Dream,51.7,19.7,232,5834,male,fish,juvenile,overweight,2021,/penguins54.jpg
Adelie,Dream,45.1,18.9,258,7509,male,fish,adult,overweight,2021,/penguins55.jpg
Adelie,Dream,39.2,19,231,7184,male,fish,juvenile,overweight,2021,/penguins56.jpg
Adelie,Dream,61.8,17.9,212,5153,male,fish,juvenile,overweight,2021,/penguins57.jpg
Adelie,Dream,50.3,20.3,225,5475,male,fish,juvenile,overweight,2021,/penguins58.jpg
Adelie,Dream,52.6,21.2,267,6818,male,fish,adult,overweight,2021,/penguins59.jpg
Adelie,Dream,62.9,16,249,5886,male,fish,adult,healthy,2021,/penguins60.jpg
Adelie,Dream,26.3,18.6,202,4242,female,krill,adult,healthy,2021,/penguins61.jpg
Adelie,Dream,24,16.6,207,4029,male,krill,juvenile,underweight,2021,/penguins62.jpg
Adelie,Dream,30,20.2,195,4400,female,krill,adult,healthy,2021,/penguins63.jpg
Adelie,Dream,18.2,17.4,179,3525,female,krill,juvenile,underweight,2021,/penguins64.jpg
Adelie,Dream,15.6,15.3,215,4121,female,krill,juvenile,healthy,2021,/penguins65.jpg
Adelie,Dream,23.5,15,196,3770,female,krill,juvenile,healthy,2021,/penguins66.jpg
Adelie,Dream,23.9,18,160,3837,female,krill,juvenile,healthy,2021,/penguins67.jpg
Adelie,Dream,27,13,191,3812,female,krill,juvenile,healthy,2021,/penguins68.jpg
Adelie,Dream,18.4,18.1,166,3777,female,krill,juvenile,healthy,2021,/penguins69.jpg
Adelie,Dream,36.4,20.2,186,4317,female,krill,adult,healthy,2021,/penguins70.jpg
Adelie,Dream,28.5,19.8,197,3817,female,krill,juvenile,healthy,2021,/penguins71.jpg
Adelie,Dream,30.6,19,184,3889,female,krill,juvenile,healthy,2021,/penguins72.jpg
Adelie,Dream,22.4,19.3,179,3783,female,krill,juvenile,healthy,2021,/penguins73.jpg
Adelie,Dream,22.1,15.8,183,3870,female,krill,juvenile,healthy,2021,/penguins74.jpg
Adelie,Dream,29.7,14.8,188,5760,male,krill,juvenile,overweight,2021,/penguins75.jpg
Adelie,Dream,29,19,184,3977,male,krill,juvenile,underweight,2021,/penguins76.jpg
Adelie,Dream,32.6,22.8,197,5480,male,krill,adult,healthy,2021,/penguins77.jpg
Adelie,Dream,25.7,19.2,216,4000,male,krill,juvenile,underweight,2021,/penguins78.jpg
Adelie,Dream,21.9,18.6,224,5129,male,krill,juvenile,overweight,2021,/penguins79.jpg
Adelie,Dream,36,14.7,214,4853,male,krill,juvenile,healthy,2021,/penguins80.jpg
Adelie,Dream,32,15.6,211,4195,male,krill,juvenile,underweight,2021,/penguins81.jpg
Adelie,Dream,32.1,19.6,207,4187,male,krill,juvenile,underweight,2021,/penguins82.jpg
Adelie,Dream,25,17.2,181,5027,male,krill,juvenile,healthy,2021,/penguins83.jpg
Adelie,Dream,28,19.5,197,4896,male,krill,juvenile,healthy,2021,/penguins84.jpg
Adelie,Dream,28,21.1,213,4314,male,krill,juvenile,underweight,2021,/penguins85.jpg
Adelie,Dream,30.2,22.7,226,5128,male,krill,adult,healthy,2021,/penguins86.jpg
Adelie,Dream,34.5,19,192,4447,male,krill,juvenile,underweight,2021,/penguins87.jpg
Adelie,Dream,38.1,20.4,216,4198,male,krill,juvenile,underweight,2021,/penguins88.jpg
Adelie,Dream,29.8,22.8,186,4999,male,krill,juvenile,healthy,2021,/penguins89.jpg
Adelie,Dream,32.1,17.7,197,4259,male,krill,juvenile,underweight,2021,/penguins90.jpg
Adelie,Dream,33.1,20.2,240,5581,male,krill,adult,healthy,2021,/penguins91.jpg
Adelie,Dream,33.8,16.6,168,3194,female,parental,chick,healthy,2021,/penguins92.jpg
Adelie,Dream,35.8,15.6,174,2977,female,parental,chick,healthy,2021,/penguins93.jpg
Adelie,Dream,23,16.7,157,3063,female,parental,chick,healthy,2021,/penguins94.jpg
Adelie,Dream,42.8,14.1,195,3061,female,parental,chick,healthy,2021,/penguins95.jpg
Adelie,Dream,38.1,14,181,2715,female,parental,chick,underweight,2021,/penguins96.jpg
Adelie,Dream,27.1,13.7,179,3471,female,parental,chick,overweight,2021,/penguins97.jpg
Adelie,Dream,32.8,17,162,3196,female,parental,chick,healthy,2021,/penguins98.jpg
Adelie,Dream,29.8,17.2,184,3016,female,parental,chick,healthy,2021,/penguins99.jpg
Adelie,Dream,31.7,13.4,180,2955,female,parental,chick,healthy,2021,/penguins100.jpg
Adelie,Dream,29.3,13.6,176,3265,female,parental,chick,overweight,2021,/penguins101.jpg
Adelie,Dream,35.5,15.3,184,3678,male,parental,chick,healthy,2021,/penguins102.jpg
Adelie,Dream,44.6,16.5,185,3411,male,parental,chick,healthy,2021,/penguins103.jpg
Adelie,Dream,38.7,19.7,232,4885,female,squid,adult,healthy,2021,/penguins104.jpg
Adelie,Dream,40.7,21.8,219,5718,male,squid,adult,healthy,2021,/penguins105.jpg
Adelie,Dream,43.6,18.6,208,6896,male,squid,adult,overweight,2021,/penguins106.jpg
Adelie,Dream,42.1,20.2,240,6157,male,squid,adult,overweight,2021,/penguins107.jpg
Adelie,Dream,37.7,23.8,214,6280,male,squid,adult,overweight,2021,/penguins108.jpg
Adelie,Torgensen,44.1,17.2,209,5344,female,fish,juvenile,overweight,2021,/penguins109.jpg
Adelie,Torgensen,40.6,18,209,5121,female,fish,juvenile,overweight,2021,/penguins110.jpg
Adelie,Torgensen,49.2,16.6,224,5126,female,fish,adult,overweight,2021,/penguins111.jpg
Adelie,Torgensen,52.6,19.5,255,4995,female,fish,adult,healthy,2021,/penguins112.jpg
Adelie,Torgensen,45.4,14.7,254,5732,female,fish,adult,overweight,2021,/penguins113.jpg
Adelie,Torgensen,43.4,14.5,267,6476,male,fish,adult,overweight,2021,/penguins114.jpg
Adelie,Torgensen,52.5,23.2,212,6019,male,fish,juvenile,overweight,2021,/penguins115.jpg
Adelie,Torgensen,63.2,22.4,271,5496,male,fish,adult,healthy,2021,/penguins116.jpg
Adelie,Torgensen,34.8,21,259,6064,male,fish,juvenile,overweight,2021,/penguins117.jpg
Adelie,Torgensen,48.5,17.4,255,7028,male,fish,adult,overweight,2021,/penguins118.jpg
Adelie,Torgensen,65.2,16.9,240,6735,male,fish,adult,overweight,2021,/penguins119.jpg
Adelie,Torgensen,21.8,18.1,177,4146,female,krill,juvenile,healthy,2021,/penguins120.jpg
Adelie,Torgensen,27,17.3,194,3973,female,krill,adult,underweight,2021,/penguins121.jpg
Adelie,Torgensen,28.8,17.7,213,4301,male,krill,juvenile,underweight,2021,/penguins122.jpg
Adelie,Torgensen,24.6,19.9,196,4272,female,krill,juvenile,healthy,2021,/penguins123.jpg
Adelie,Torgensen,26.4,21.5,193,3966,female,krill,juvenile,healthy,2021,/penguins124.jpg
Adelie,Torgensen,24.9,21.2,217,4716,female,krill,adult,healthy,2021,/penguins125.jpg
Adelie,Torgensen,28.6,18.5,180,3826,female,krill,juvenile,healthy,2021,/penguins126.jpg
Adelie,Torgensen,19.8,17.6,166,3713,female,krill,juvenile,healthy,2021,/penguins127.jpg
Adelie,Torgensen,33.1,17.2,179,3822,female,krill,juvenile,healthy,2021,/penguins128.jpg
Adelie,Torgensen,29.2,17.2,200,3598,female,krill,juvenile,underweight,2021,/penguins129.jpg
Adelie,Torgensen,21.9,17.2,172,3615,female,krill,juvenile,underweight,2021,/penguins130.jpg
Adelie,Torgensen,31.6,18.6,205,5467,female,krill,adult,overweight,2021,/penguins131.jpg
Adelie,Torgensen,23,18.1,192,5110,female,krill,adult,overweight,2021,/penguins132.jpg
Adelie,Torgensen,26.7,17.7,229,4103,male,krill,adult,underweight,2021,/penguins133.jpg
Adelie,Torgensen,32.3,15,178,4784,male,krill,juvenile,healthy,2021,/penguins134.jpg
Adelie,Torgensen,23,19.8,221,6440,male,krill,adult,overweight,2021,/penguins135.jpg
Adelie,Torgensen,31,20.6,218,4968,male,krill,adult,underweight,2021,/penguins136.jpg
Adelie,Torgensen,28.3,21.2,214,5041,male,krill,adult,underweight,2021,/penguins137.jpg
Adelie,Torgensen,21.8,21.3,225,4815,male,krill,juvenile,healthy,2021,/penguins138.jpg
Adelie,Torgensen,37.6,21.8,233,5541,male,krill,adult,healthy,2021,/penguins139.jpg
Adelie,Torgensen,18,14.4,208,3801,male,krill,juvenile,underweight,2021,/penguins140.jpg
Adelie,Torgensen,35.9,13.9,168,3148,female,parental,chick,healthy,2021,/penguins141.jpg
Adelie,Torgensen,27,13.6,172,3234,female,parental,chick,overweight,2021,/penguins142.jpg
Adelie,Torgensen,26.6,13.8,201,3246,female,parental,chick,overweight,2021,/penguins143.jpg
Adelie,Torgensen,29.1,13.5,170,3004,female,parental,chick,healthy,2021,/penguins144.jpg
Adelie,Torgensen,31.1,18.7,169,2927,female,parental,chick,healthy,2021,/penguins145.jpg
Adelie,Torgensen,29.3,12.6,162,2982,female,parental,chick,healthy,2021,/penguins146.jpg
Adelie,Torgensen,35.1,14.7,171,3110,female,parental,chick,healthy,2021,/penguins147.jpg
Adelie,Torgensen,29.3,11.6,169,3055,female,parental,chick,healthy,2021,/penguins148.jpg
Adelie,Torgensen,36.8,14,192,3155,male,parental,chick,underweight,2021,/penguins149.jpg
Adelie,Torgensen,26.3,16.6,163,3939,male,parental,chick,overweight,2021,/penguins150.jpg
Adelie,Torgensen,39.2,18.5,184,4068,male,parental,chick,overweight,2021,/penguins151.jpg
Adelie,Torgensen,32.6,13.7,173,3623,male,parental,chick,healthy,2021,/penguins152.jpg
Adelie,Torgensen,34,19.6,208,3347,male,parental,chick,underweight,2021,/penguins153.jpg
Adelie,Torgensen,35.9,16.8,194,4113,male,parental,chick,overweight,2021,/penguins154.jpg
Adelie,Torgensen,45,16.8,228,4846,male,squid,juvenile,healthy,2021,/penguins155.jpg
Adelie,Torgensen,44.7,16.3,204,5096,male,squid,juvenile,healthy,2021,/penguins156.jpg
Adelie,Torgensen,41.1,21.5,266,4414,male,squid,adult,underweight,2021,/penguins157.jpg
Chinstrap,Dream,60.4,15.1,220,7061,female,fish,adult,overweight,2021,/penguins158.jpg
Chinstrap,Dream,50.9,18.5,235,5469,female,fish,adult,healthy,2021,/penguins159.jpg
Chinstrap,Dream,49.3,22.5,236,5080,female,fish,adult,healthy,2021,/penguins1.jpg
Chinstrap,Dream,38.8,17.8,195,4830,female,fish,juvenile,overweight,2021,/penguins2.jpg
Chinstrap,Dream,54.3,22,236,6431,female,fish,adult,overweight,2021,/penguins3.jpg
Chinstrap,Dream,59.9,23.3,213,6305,female,fish,adult,overweight,2021,/penguins4.jpg
Chinstrap,Dream,56.2,19.2,191,5473,female,fish,juvenile,overweight,2021,/penguins5.jpg
Chinstrap,Dream,53.4,20.3,204,4543,female,fish,juvenile,healthy,2021,/penguins6.jpg
Chinstrap,Dream,54.5,20,257,6628,male,fish,adult,overweight,2021,/penguins7.jpg
Chinstrap,Dream,59.3,20.4,299,7212,male,fish,adult,overweight,2021,/penguins8.jpg
Chinstrap,Dream,70.9,25.4,253,6798,male,fish,adult,overweight,2021,/penguins9.jpg
Chinstrap,Dream,62.1,17.5,232,5848,male,fish,juvenile,overweight,2021,/penguins10.jpg
Chinstrap,Dream,62.9,16.4,246,6423,male,fish,juvenile,overweight,2021,/penguins11.jpg
Chinstrap,Dream,62.1,20.3,269,7121,male,fish,adult,overweight,2021,/penguins12.jpg
Chinstrap,Dream,21.5,17.1,162,3947,female,krill,juvenile,healthy,2021,/penguins13.jpg
Chinstrap,Dream,30.2,15.4,190,4103,female,krill,juvenile,healthy,2021,/penguins14.jpg
Chinstrap,Dream,26.7,20,186,3745,female,krill,juvenile,underweight,2021,/penguins15.jpg
Chinstrap,Dream,25.7,21.4,180,3140,female,krill,juvenile,underweight,2021,/penguins16.jpg
Chinstrap,Dream,26.2,17.2,189,5080,female,krill,adult,healthy,2021,/penguins17.jpg
Chinstrap,Dream,23.1,22.3,202,4478,female,krill,juvenile,healthy,2021,/penguins18.jpg
Chinstrap,Dream,28.3,19.5,180,3766,female,krill,juvenile,underweight,2021,/penguins19.jpg
Chinstrap,Dream,35.9,20.5,198,4197,female,krill,adult,underweight,2021,/penguins20.jpg
Chinstrap,Dream,31.1,17,194,4458,female,krill,adult,underweight,2021,/penguins21.jpg
Chinstrap,Dream,23.6,14.7,187,4157,female,krill,juvenile,healthy,2021,/penguins22.jpg
Chinstrap,Dream,27.9,17.9,188,3579,female,krill,juvenile,underweight,2021,/penguins23.jpg
Chinstrap,Dream,42.2,19.7,195,5038,female,krill,adult,healthy,2021,/penguins24.jpg
Chinstrap,Dream,33.8,17.4,169,3977,female,krill,juvenile,healthy,2021,/penguins25.jpg
Chinstrap,Dream,34.1,20.1,218,4528,female,krill,adult,healthy,2021,/penguins26.jpg
Chinstrap,Dream,27.3,16.6,190,3794,female,krill,juvenile,underweight,2021,/penguins27.jpg
Chinstrap,Dream,28.4,17.6,191,3987,female,krill,juvenile,healthy,2021,/penguins28.jpg
Chinstrap,Dream,28.5,18,172,3804,female,krill,juvenile,underweight,2021,/penguins29.jpg
Chinstrap,Dream,30.8,23.1,179,3403,female,krill,juvenile,underweight,2021,/penguins30.jpg
Chinstrap,Dream,30.8,13.5,186,4780,female,krill,juvenile,overweight,2021,/penguins31.jpg
Chinstrap,Dream,18.7,18.8,169,4079,female,krill,juvenile,healthy,2021,/penguins32.jpg
Chinstrap,Dream,29.5,20.2,194,5781,female,krill,adult,overweight,2021,/penguins33.jpg
Chinstrap,Dream,31.4,18,173,3946,female,krill,juvenile,healthy,2021,/penguins34.jpg
Chinstrap,Dream,28.5,20,225,4705,male,krill,juvenile,healthy,2021,/penguins35.jpg
Chinstrap,Dream,34,21.4,215,4634,male,krill,adult,underweight,2021,/penguins36.jpg
Chinstrap,Dream,31.8,19.6,194,4822,male,krill,juvenile,healthy,2021,/penguins37.jpg
Chinstrap,Dream,30.8,19.7,213,6254,male,krill,adult,healthy,2021,/penguins38.jpg
Chinstrap,Dream,32.2,20.7,254,4779,male,krill,adult,underweight,2021,/penguins39.jpg
Chinstrap,Dream,35.1,18.5,215,4591,male,krill,juvenile,underweight,2021,/penguins40.jpg
Chinstrap,Dream,27.7,20.4,222,5602,male,krill,juvenile,overweight,2021,/penguins41.jpg
Chinstrap,Dream,33.4,21.4,206,5189,male,krill,adult,underweight,2021,/penguins42.jpg
Chinstrap,Dream,27.4,16.5,201,3973,male,krill,juvenile,underweight,2021,/penguins43.jpg
Chinstrap,Dream,28.7,18.8,217,4505,male,krill,juvenile,underweight,2021,/penguins44.jpg
Chinstrap,Dream,32.3,16.2,171,2963,female,parental,chick,healthy,2021,/penguins45.jpg
Chinstrap,Dream,33.4,11.7,163,3071,female,parental,chick,healthy,2021,/penguins46.jpg
Chinstrap,Dream,32.7,20,184,3089,female,parental,chick,healthy,2021,/penguins47.jpg
Chinstrap,Dream,31.9,14.5,166,3732,female,parental,chick,overweight,2021,/penguins48.jpg
Chinstrap,Dream,32.6,13.7,159,3392,female,parental,chick,healthy,2021,/penguins49.jpg
Chinstrap,Dream,30.6,18.3,174,3170,female,parental,chick,healthy,2021,/penguins50.jpg
Chinstrap,Dream,30.3,13.7,175,3312,female,parental,chick,healthy,2021,/penguins51.jpg
Chinstrap,Dream,32.4,16.4,178,3430,female,parental,chick,healthy,2021,/penguins52.jpg
Chinstrap,Dream,24,13.7,183,3272,female,parental,chick,healthy,2021,/penguins53.jpg
Chinstrap,Dream,33.4,16.1,200,3522,male,parental,chick,underweight,2021,/penguins54.jpg
Chinstrap,Dream,31.5,15.4,171,3528,male,parental,chick,underweight,2021,/penguins55.jpg
Chinstrap,Dream,29.2,19.6,192,3859,male,parental,chick,healthy,2021,/penguins56.jpg
Chinstrap,Dream,36.6,16.9,190,3549,male,parental,chick,underweight,2021,/penguins57.jpg
Chinstrap,Dream,44.1,17.2,208,3588,male,parental,chick,underweight,2021,/penguins58.jpg
Chinstrap,Dream,31,16.9,195,3765,male,parental,chick,healthy,2021,/penguins59.jpg
Chinstrap,Dream,35.9,16.2,184,3611,male,parental,chick,healthy,2021,/penguins60.jpg
Chinstrap,Dream,31.8,16.3,181,3914,male,parental,chick,healthy,2021,/penguins61.jpg
Chinstrap,Dream,39.9,17,161,3829,male,parental,chick,healthy,2021,/penguins62.jpg
Chinstrap,Dream,38.3,11.1,170,3972,male,parental,chick,healthy,2021,/penguins63.jpg
Chinstrap,Dream,36.1,16.7,184,3692,male,parental,chick,healthy,2021,/penguins64.jpg
Chinstrap,Dream,38.5,18.5,219,5464,female,squid,adult,healthy,2021,/penguins65.jpg
Chinstrap,Dream,40.8,17.8,192,5345,male,squid,juvenile,healthy,2021,/penguins66.jpg
Chinstrap,Dream,53.4,23.4,221,7663,male,squid,adult,overweight,2021,/penguins67.jpg
Chinstrap,Dream,64.1,17.9,219,5762,male,squid,adult,healthy,2021,/penguins68.jpg
Gentoo,Biscoe,51.3,23.3,231,5536,female,fish,adult,healthy,2021,/penguins69.jpg
Gentoo,Biscoe,56.8,20.6,246,5718,female,fish,adult,healthy,2021,/penguins70.jpg
Gentoo,Biscoe,66.5,24,259,6711,female,fish,adult,overweight,2021,/penguins71.jpg
Gentoo,Biscoe,56.9,21.6,204,6499,female,fish,adult,overweight,2021,/penguins72.jpg
Gentoo,Biscoe,50.2,18.7,214,5733,female,fish,juvenile,overweight,2021,/penguins73.jpg
Gentoo,Biscoe,42.9,18.8,192,5174,female,fish,juvenile,overweight,2021,/penguins74.jpg
Gentoo,Biscoe,48,20,246,5118,female,fish,juvenile,overweight,2021,/penguins75.jpg
Gentoo,Biscoe,51.8,21.2,212,5297,female,fish,juvenile,overweight,2021,/penguins76.jpg
Gentoo,Biscoe,61.4,22,231,6412,female,fish,adult,overweight,2021,/penguins77.jpg
Gentoo,Biscoe,40.5,21.5,239,5883,female,fish,adult,healthy,2021,/penguins78.jpg
Gentoo,Biscoe,73.6,21.1,245,5092,female,fish,adult,healthy,2021,/penguins79.jpg
Gentoo,Biscoe,70.7,22.4,251,6072,female,fish,adult,healthy,2021,/penguins80.jpg
Gentoo,Biscoe,71.9,19.7,243,6882,female,fish,adult,overweight,2021,/penguins81.jpg
Gentoo,Biscoe,55.4,18,238,7492,female,fish,adult,overweight,2021,/penguins82.jpg
Gentoo,Biscoe,47.1,19.4,220,4919,female,fish,juvenile,overweight,2021,/penguins83.jpg
Gentoo,Biscoe,55.9,19,260,6275,female,fish,adult,overweight,2021,/penguins84.jpg
Gentoo,Biscoe,62.4,16,250,4356,female,fish,juvenile,healthy,2021,/penguins85.jpg
Gentoo,Biscoe,62.4,24.2,204,7023,female,fish,adult,overweight,2021,/penguins86.jpg
Gentoo,Biscoe,47.9,12.4,235,5701,female,fish,juvenile,overweight,2021,/penguins87.jpg
Gentoo,Biscoe,57.7,22.2,250,7281,female,fish,adult,overweight,2021,/penguins88.jpg
Gentoo,Biscoe,66.5,18.9,238,7521,female,fish,adult,overweight,2021,/penguins89.jpg
Gentoo,Biscoe,65,19.4,242,6492,female,fish,adult,overweight,2021,/penguins90.jpg
Gentoo,Biscoe,69.7,21.9,202,7522,female,fish,adult,overweight,2021,/penguins91.jpg
Gentoo,Biscoe,60.5,25.7,274,6907,female,fish,adult,overweight,2021,/penguins92.jpg
Gentoo,Biscoe,65.8,20.4,212,5122,female,fish,juvenile,overweight,2021,/penguins93.jpg
Gentoo,Biscoe,49.9,17,245,5555,female,fish,juvenile,overweight,2021,/penguins94.jpg
Gentoo,Biscoe,49,20.9,250,7035,female,fish,adult,overweight,2021,/penguins95.jpg
Gentoo,Biscoe,49.7,18.4,213,4849,female,fish,juvenile,healthy,2021,/penguins96.jpg
Gentoo,Biscoe,47.6,15.6,247,6343,male,fish,juvenile,overweight,2021,/penguins97.jpg
Gentoo,Biscoe,57.9,18.7,226,6333,male,fish,juvenile,overweight,2021,/penguins98.jpg
Gentoo,Biscoe,46.9,19.6,248,7041,male,fish,juvenile,overweight,2021,/penguins99.jpg
Gentoo,Biscoe,48.9,20.7,238,6418,male,fish,juvenile,overweight,2021,/penguins100.jpg
Gentoo,Biscoe,56.9,24.1,250,5729,male,fish,juvenile,healthy,2021,/penguins101.jpg
Gentoo,Biscoe,46.2,23.2,229,5908,male,fish,juvenile,overweight,2021,/penguins102.jpg
Gentoo,Biscoe,62.5,15.7,229,4686,male,fish,juvenile,underweight,2021,/penguins103.jpg
Gentoo,Biscoe,53.2,24.3,270,8754,male,fish,adult,overweight,2021,/penguins104.jpg
Gentoo,Biscoe,66.8,20.8,247,7598,male,fish,adult,overweight,2021,/penguins105.jpg
Gentoo,Biscoe,60.3,19.9,259,7350,male,fish,juvenile,overweight,2021,/penguins106.jpg
Gentoo,Biscoe,58.7,23.2,249,7082,male,fish,adult,healthy,2021,/penguins107.jpg
Gentoo,Biscoe,49.5,19.5,222,6059,male,fish,juvenile,overweight,2021,/penguins108.jpg
Gentoo,Biscoe,88.2,22.6,249,8873,male,fish,adult,overweight,2021,/penguins109.jpg
Gentoo,Biscoe,71.5,24,267,7926,male,fish,adult,overweight,2021,/penguins110.jpg
Gentoo,Biscoe,58.5,26.6,296,8635,male,fish,adult,overweight,2021,/penguins111.jpg
Gentoo,Biscoe,60.8,22.9,254,8489,male,fish,adult,overweight,2021,/penguins112.jpg
Gentoo,Biscoe,63.8,19.8,247,6342,male,fish,juvenile,overweight,2021,/penguins113.jpg
Gentoo,Biscoe,50.3,18.9,251,7279,male,fish,juvenile,overweight,2021,/penguins114.jpg
Gentoo,Biscoe,59.2,19,260,10415,male,fish,adult,overweight,2021,/penguins115.jpg
Gentoo,Biscoe,45,19.2,228,6217,male,fish,juvenile,overweight,2021,/penguins116.jpg
Gentoo,Biscoe,52.9,19.5,233,6845,male,fish,juvenile,overweight,2021,/penguins117.jpg
Gentoo,Biscoe,24.4,19.2,161,3945,female,krill,juvenile,underweight,2021,/penguins118.jpg
Gentoo,Biscoe,22.7,22.8,182,3873,female,krill,juvenile,underweight,2021,/penguins119.jpg
Gentoo,Biscoe,26.9,19.9,167,5009,female,krill,juvenile,overweight,2021,/penguins120.jpg
Gentoo,Biscoe,27.6,20,196,4192,female,krill,juvenile,healthy,2021,/penguins121.jpg
Gentoo,Biscoe,25.1,20.1,176,3713,female,krill,juvenile,underweight,2021,/penguins122.jpg
Gentoo,Biscoe,24.3,19.3,192,4161,female,krill,juvenile,healthy,2021,/penguins123.jpg
